#{"t_start": 1663577230.6982, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
17,50,111.688756,0.66,0.68841059602649
11,50,111.716349,0.78,0.8260220829603103
16,50,111.754852,0.68,0.7584407612031921
8,50,111.777013,0.84,0.8543091655266758
10,50,111.802237,0.8,0.804945054945055
10,50,111.825688,0.8,0.8184885290148448
14,50,111.860851,0.72,0.7618530582699964
20,50,111.902885,0.6,0.6020633750921149
10,50,111.928496,0.8,0.8119685039370079
16,50,111.966455,0.68,0.6847652507186203
13,50,111.999901,0.74,0.7668106107341147
11,50,112.029093,0.78,0.7692533803644914
12,50,112.057415,0.76,0.7721238938053098
8,50,112.079479,0.84,0.8151049827640238
15,50,112.115106,0.7,0.7714863498483316
17,50,112.154898,0.66,0.6818046898189374
18,50,112.20246,0.64,0.6610015174506828
13,50,112.240658,0.74,0.7700877785280216
18,50,112.288913,0.64,0.71198738170347
14,50,112.325034,0.72,0.7391029690461149
9,50,112.352068,0.82,0.8451973888716195
13,50,112.381578,0.74,0.7520485584218513
8,50,112.403404,0.84,0.8385840707964601
15,50,112.43738,0.7,0.7185162094763092
14,50,112.475128,0.72,0.743712193568927
11,50,112.502305,0.78,0.8080256821829855
11,50,112.534001,0.78,0.7960756832515767
15,50,112.574954,0.7,0.7585604472396925
15,50,112.613479,0.7,0.6756838905775076
18,50,112.655126,0.64,0.6889495225102319
15,50,112.691513,0.7,0.7338632750397456
13,50,112.723353,0.74,0.7479075995982591
11,50,112.750714,0.78,0.7953253316487682
11,50,112.781763,0.78,0.7918393369461268
14,50,112.815698,0.72,0.7787817938420348
11,50,112.845978,0.78,0.8330668372241765
9,50,112.872954,0.82,0.8461770018061409
15,50,112.910579,0.7,0.7244362063639173
9,50,112.937338,0.82,0.8184107442641299
13,50,112.968514,0.74,0.76192
20,50,113.012173,0.6,0.6336541446755666
16,50,113.052186,0.68,0.7070707070707071
11,50,113.0788,0.78,0.8059941991621012
9,50,113.105016,0.82,0.8421778084079945
16,50,113.142181,0.68,0.6835098335854766
5,50,113.159706,0.9,0.9012345679012346
13,50,113.193778,0.74,0.7791601866251944
11,50,113.226169,0.78,0.7905001572821642
11,50,113.256851,0.78,0.7944214876033058
9,50,113.282903,0.82,0.8464228934817171
10,50,113.313495,0.8,0.8195369489375198
11,50,113.344792,0.78,0.7880197731898808
10,50,113.372074,0.8,0.8324040669071827
11,50,113.401328,0.78,0.7705799151343706
15,50,113.438365,0.7,0.7388036329470717
14,50,113.474037,0.72,0.7221345121566151
14,50,113.508997,0.72,0.7465708687132593
14,50,113.542776,0.72,0.7254071661237785
14,50,113.577804,0.72,0.750920656176766
19,50,113.621154,0.62,0.6330958549222798
12,50,113.65245,0.76,0.7822634017207147
16,50,113.695949,0.68,0.7037607891491985
12,50,113.726414,0.76,0.8112961149200131
13,50,113.760123,0.74,0.7561455260570304
16,50,113.799949,0.68,0.7259400892288081
18,50,113.842699,0.64,0.6587677725118484
12,50,113.873966,0.76,0.772547828727604
16,50,113.90659,0.68,0.6961063627730294
11,50,113.93827,0.78,0.8456418383518225
19,50,113.984787,0.62,0.6988213399503722
14,50,114.017733,0.72,0.7526848726603252
15,50,114.055292,0.7,0.6971577915713819
16,50,114.093974,0.68,0.7329011345218801
10,50,114.122993,0.8,0.819001386962552
11,50,114.155164,0.78,0.7800393959290873
11,50,114.186138,0.78,0.7550229115262601
13,50,114.223938,0.74,0.7302237630003151
14,50,114.254108,0.72,0.6789964618848504
