#{"t_start": 1663577230.7039504, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
48,50,53.558569,0.04,0.046104928457869634
45,50,53.695361,0.1,0.11575967285309846
45,50,53.827186,0.1,0.11424819435325016
45,50,53.954483,0.1,0.10848585690515807
47,50,54.07189,0.06,0.07417840375586854
49,50,54.185244,0.02,0.022698209718670075
47,50,54.299567,0.06,0.07514831905075807
48,50,54.420993,0.04,0.06141479099678457
48,50,54.532876,0.04,0.060432140445644836
47,50,54.66715,0.06,0.08526148969889065
46,50,54.792552,0.08,0.10754142712208319
47,50,54.920638,0.06,0.07815126050420168
47,50,55.052546,0.06,0.06538796861377506
46,50,55.177449,0.08,0.11069861626729666
50,50,55.29636,0.0,0.0
49,50,55.410863,0.02,0.01974749109744254
48,50,55.527912,0.04,0.05597629239380968
48,50,55.655655,0.04,0.05365707434052758
45,50,55.801783,0.1,0.1410385259631491
46,50,55.938168,0.08,0.10566276494780133
46,50,56.076754,0.08,0.10514865844815083
49,50,56.196738,0.02,0.02643908969210174
48,50,56.335077,0.04,0.04869800473452824
45,50,56.474582,0.1,0.1123798076923077
50,50,56.615211,0.0,0.0
46,50,56.748034,0.08,0.099933598937583
45,50,56.881983,0.1,0.11693895098882201
46,50,57.015218,0.08,0.09289790741915029
42,50,57.151152,0.16,0.21073558648111332
46,50,57.291546,0.08,0.0905069751616196
48,50,57.429015,0.04,0.04975124378109453
45,50,57.565067,0.1,0.12878535773710484
49,50,57.697151,0.02,0.025061771973173313
47,50,57.829255,0.06,0.07911392405063292
47,50,57.954392,0.06,0.078125
46,50,58.089232,0.08,0.10439378923026098
44,50,58.215878,0.12,0.13103693181818182
44,50,58.333515,0.12,0.1611969111969112
44,50,58.45775,0.12,0.13904877309906089
45,50,58.579338,0.1,0.12408312958435208
48,50,58.704199,0.04,0.05405405405405406
49,50,58.829957,0.02,0.023695054945054944
44,50,58.955873,0.12,0.1379215035931454
44,50,59.08231,0.12,0.14849397590361446
47,50,59.202528,0.06,0.08083140877598152
46,50,59.330603,0.08,0.11034027089527584
49,50,59.445376,0.02,0.019937694704049845
45,50,59.573088,0.1,0.11876184459886292
48,50,59.696202,0.04,0.0455300764373546
44,50,59.822244,0.12,0.15495259888852567
44,50,59.953357,0.12,0.1520979020979021
46,50,60.076447,0.08,0.10271317829457365
45,50,60.197697,0.1,0.15220207253886012
48,50,60.324861,0.04,0.037520391517128875
45,50,60.449619,0.1,0.10062456627342123
47,50,60.575415,0.06,0.07377557346559206
48,50,60.696607,0.04,0.04764851485148515
44,50,60.824311,0.12,0.16458533461415306
44,50,60.955088,0.12,0.15286624203821655
48,50,61.069795,0.04,0.058969584109248914
49,50,61.180349,0.02,0.03365384615384615
47,50,61.302295,0.06,0.08304278922345483
41,50,61.422416,0.18,0.2309556786703601
49,50,61.543988,0.02,0.02766295707472178
48,50,61.667081,0.04,0.060861423220973786
47,50,61.789422,0.06,0.06228042159054615
49,50,61.899628,0.02,0.01455026455026455
47,50,62.012435,0.06,0.07763401109057301
49,50,62.132199,0.02,0.02193116052391106
49,50,62.262112,0.02,0.021964229683087543
47,50,62.394478,0.06,0.0660377358490566
44,50,62.547746,0.12,0.13889773813316342
46,50,62.687057,0.08,0.1015576323987539
47,50,62.817886,0.06,0.08217884130982368
45,50,62.960647,0.1,0.12060466644758462
48,50,63.077218,0.04,0.05345345345345345
47,50,63.217494,0.06,0.06239572906239573
41,50,63.355759,0.18,0.20561685055165496
46,50,63.479162,0.08,0.10012919896640828
45,50,63.603187,0.1,0.1316884661117717
43,50,63.735321,0.14,0.18098958333333334
46,50,63.863898,0.08,0.09898798228969007
45,50,63.984587,0.1,0.12530339805825244
47,50,64.126443,0.06,0.06816088424930918
46,50,64.258457,0.08,0.105297580117724
46,50,64.381752,0.08,0.08666215301286391
48,50,64.506185,0.04,0.0387624466571835
47,50,64.630149,0.06,0.06869754429592788
45,50,64.75765,0.1,0.1125467528051683
45,50,64.895456,0.1,0.12768863093205873
47,50,65.027984,0.06,0.07914998460117031
50,50,65.141742,0.0,0.0
50,50,65.253388,0.0,0.0
48,50,65.367088,0.04,0.039634146341463415
49,50,65.476374,0.02,0.02973977695167286
49,50,65.595786,0.02,0.029835735836406304
46,50,65.722421,0.08,0.09462915601023018
48,50,65.846683,0.04,0.055812417437252314
46,50,65.977096,0.08,0.09953083109919571
44,50,66.119734,0.12,0.1458910433979686
48,50,66.244703,0.04,0.05288932419196866
45,50,66.377352,0.1,0.11516497461928935
47,50,66.51661,0.06,0.07232913072329131
50,50,66.637091,0.0,0.0
43,50,66.784581,0.14,0.15625
43,50,66.932004,0.14,0.16967018021081265
44,50,67.081278,0.12,0.14485111662531017
46,50,67.219569,0.08,0.09414357682619648
41,50,67.354421,0.18,0.21144055106319257
48,50,67.481343,0.04,0.038618524332810045
48,50,67.59522,0.04,0.06370721789223992
41,50,67.730686,0.18,0.22562844880441446
48,50,67.846342,0.04,0.04201680672268908
42,50,67.971457,0.16,0.19334783960211377
48,50,68.092812,0.04,0.03656545870062031
46,50,68.212108,0.08,0.1011569267279739
49,50,68.340798,0.02,0.013574660633484163
47,50,68.471841,0.06,0.08375959079283887
48,50,68.610559,0.04,0.05745184183845894
50,50,68.727327,0.0,0.0
41,50,68.877252,0.18,0.26201602136181573
46,50,69.009139,0.08,0.08697123519458545
42,50,69.145514,0.16,0.206052801030264
48,50,69.274252,0.04,0.04781906300484653
48,50,69.40644,0.04,0.040156709108716944
49,50,69.533813,0.02,0.02967359050445104
41,50,69.662286,0.18,0.24269293924466337
45,50,69.786999,0.1,0.12786134728580772
47,50,69.904076,0.06,0.09097057828880623
47,50,70.042268,0.06,0.07262569832402235
49,50,70.169087,0.02,0.02996025680220116
47,50,70.289099,0.06,0.05552010210593491
48,50,70.417446,0.04,0.050292018170019465
50,50,70.555605,0.0,0.0
47,50,70.685372,0.06,0.08944658944658945
46,50,70.823369,0.08,0.09844559585492228
47,50,70.961932,0.06,0.07740324594257178
43,50,71.101706,0.14,0.15822585718779492
49,50,71.214231,0.02,0.025796178343949046
50,50,71.317687,0.0,0.0
49,50,71.432469,0.02,0.01685214626391097
47,50,71.543771,0.06,0.08315715292459479
