#{"t_start": 1663577230.7014184, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
41,50,46.156718,0.18,0.2084844089920232
49,50,46.27316,0.02,0.02643908969210174
39,50,46.385752,0.22,0.21170104835982415
40,50,46.49244,0.2,0.22115384615384615
44,50,46.604124,0.12,0.13872286882667506
42,50,46.713691,0.16,0.17629482071713148
43,50,46.81965,0.14,0.16824304958440814
38,50,46.923839,0.24,0.22859860494610018
37,50,47.023907,0.26,0.30483764082173626
40,50,47.134025,0.2,0.22354542361347396
43,50,47.252335,0.14,0.14894278606965175
40,50,47.363345,0.2,0.221630615640599
43,50,47.465103,0.14,0.18672785033533357
43,50,47.570848,0.14,0.12246835443037975
39,50,47.669985,0.22,0.26211734693877553
45,50,47.782209,0.1,0.1199207135777998
44,50,47.887621,0.12,0.12038352272727272
40,50,47.991366,0.2,0.24002574002574004
41,50,48.094039,0.18,0.2144804604665253
44,50,48.195669,0.12,0.13753056234718827
45,50,48.305933,0.1,0.10411547911547911
41,50,48.416339,0.18,0.21153846153846154
41,50,48.520227,0.18,0.18214483139856275
44,50,48.630658,0.12,0.1394578313253012
45,50,48.738031,0.1,0.1141537446387331
44,50,48.852529,0.12,0.13742979848034356
44,50,48.960376,0.12,0.13239875389408098
43,50,49.073408,0.14,0.13076437144662034
41,50,49.178838,0.18,0.19508142239946827
40,50,49.279847,0.2,0.23896698267407648
38,50,49.381957,0.24,0.2966200466200466
42,50,49.478537,0.16,0.1582687338501292
41,50,49.574584,0.18,0.19624352331606218
43,50,49.676204,0.14,0.17748776508972267
45,50,49.781384,0.1,0.08570437196391395
38,50,49.877363,0.24,0.2851828890266584
46,50,49.979849,0.08,0.0968440594059406
39,50,50.078559,0.22,0.2625680435478706
37,50,50.173019,0.26,0.2911737943585077
45,50,50.270843,0.1,0.11887026691495965
43,50,50.37357,0.14,0.1559065934065934
44,50,50.478723,0.12,0.1508716323296355
39,50,50.572126,0.22,0.27943213296398894
45,50,50.676184,0.1,0.12400635930047695
46,50,50.788995,0.08,0.08426966292134831
48,50,50.911247,0.04,0.043755988502076015
46,50,51.021994,0.08,0.04828042328042328
48,50,51.134523,0.04,0.05021565003080715
43,50,51.24222,0.14,0.14224794395370088
42,50,51.347209,0.16,0.17037966739880767
46,50,51.462779,0.08,0.08659029649595687
42,50,51.573068,0.16,0.19942656897100988
43,50,51.681278,0.14,0.129595015576324
43,50,51.785537,0.14,0.16750629722921914
38,50,51.88217,0.24,0.24318107131120606
38,50,51.973198,0.24,0.24624624624624625
42,50,52.08101,0.16,0.17717717717717718
40,50,52.184944,0.2,0.2199933132731528
47,50,52.294171,0.06,0.07396640826873385
38,50,52.389601,0.24,0.29518430439952437
44,50,52.484024,0.12,0.13248697916666666
46,50,52.590219,0.08,0.11258697027197975
44,50,52.693288,0.12,0.14684466019417475
33,50,52.785286,0.34,0.3963770340804421
39,50,52.88661,0.22,0.25049051667756705
40,50,52.985634,0.2,0.24542992552471227
44,50,53.093417,0.12,0.13335704125177808
40,50,53.195909,0.2,0.21510724277276966
42,50,53.301849,0.16,0.20299217953077184
42,50,53.407431,0.16,0.19938545578695802
41,50,53.514727,0.18,0.2245149368647983
47,50,53.627272,0.06,0.08032378580323786
41,50,53.726484,0.18,0.20277589708869329
46,50,53.830755,0.08,0.08658536585365853
42,50,53.930706,0.16,0.1973358116480793
44,50,54.030922,0.12,0.15454240697284613
44,50,54.139267,0.12,0.14929667519181586
44,50,54.243411,0.12,0.13936591809775428
43,50,54.347709,0.14,0.1467828418230563
40,50,54.446179,0.2,0.24161280393967374
43,50,54.551838,0.14,0.13124387855044076
39,50,54.654585,0.22,0.2306472081218274
43,50,54.761741,0.14,0.16522893165228933
47,50,54.862498,0.06,0.07728753331359195
38,50,54.959281,0.24,0.26625
39,50,55.065015,0.22,0.25569534172050323
40,50,55.174474,0.2,0.20378411910669975
42,50,55.280947,0.16,0.16750629722921914
39,50,55.380319,0.22,0.2150344414495358
45,50,55.492585,0.1,0.11177394034536892
47,50,55.601299,0.06,0.07895628600474415
38,50,55.706874,0.24,0.27774371551195587
42,50,55.809331,0.16,0.18164188752424046
42,50,55.919548,0.16,0.17935965184954927
45,50,56.026603,0.1,0.13581456088801827
40,50,56.127907,0.2,0.20973005043013943
42,50,56.231106,0.16,0.18009049773755656
43,50,56.336924,0.14,0.17647058823529413
42,50,56.438216,0.16,0.17573504562352146
47,50,56.551013,0.06,0.06666666666666667
37,50,56.65117,0.26,0.29205607476635514
44,50,56.762109,0.12,0.13028764805414553
36,50,56.857615,0.28,0.2881519639407598
