#{"t_start": 1663577230.7067392, "env_id": "RMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
48,50,47.950853,0.04,0.05287426990470335
50,50,48.218115,0.0,0.0
45,50,48.462748,0.1,0.12861736334405144
50,50,48.729312,0.0,0.0
50,50,48.991826,0.0,0.0
45,50,49.23726,0.1,0.13035143769968052
47,50,49.484064,0.06,0.072684246112238
45,50,49.727479,0.1,0.12181580666231222
49,50,49.972161,0.02,0.02870967741935484
48,50,50.231584,0.04,0.0325626831650928
47,50,50.479127,0.06,0.05299313052011776
45,50,50.733706,0.1,0.11004626569729015
46,50,51.003234,0.08,0.1094287680660702
48,50,51.260224,0.04,0.05842765371673295
50,50,51.508969,0.0,0.0
50,50,51.770745,0.0,0.0
50,50,52.029776,0.0,0.0
48,50,52.282298,0.04,0.04561516222293607
48,50,52.523344,0.04,0.04365345869711216
46,50,52.774195,0.08,0.11258053577483892
50,50,53.018481,0.0,0.0
48,50,53.291406,0.04,0.058416139716952725
50,50,53.57675,0.0,0.0
47,50,53.832827,0.06,0.08483368935001526
44,50,54.086317,0.12,0.13916617733411626
45,50,54.346614,0.1,0.12902264600715138
46,50,54.593161,0.08,0.10125786163522013
39,50,54.833498,0.22,0.21240413471157052
48,50,55.105131,0.04,0.04058490002984184
42,50,55.367492,0.16,0.1928062216461439
42,50,55.622298,0.16,0.20025550942190992
47,50,55.881142,0.06,0.08620689655172414
42,50,56.142779,0.16,0.19646730709637433
44,50,56.39449,0.12,0.13696892834495877
38,50,56.636035,0.24,0.2836721728081322
45,50,56.890732,0.1,0.14783774723432785
45,50,57.15268,0.1,0.11530880420499343
46,50,57.41538,0.08,0.11213047910295616
47,50,57.66971,0.06,0.07772543741588156
47,50,57.928797,0.06,0.08024296675191815
49,50,58.188874,0.02,0.029006013441811106
46,50,58.433585,0.08,0.11388355726167626
46,50,58.690887,0.08,0.11131611316113162
45,50,58.949058,0.1,0.1444550974752317
45,50,59.203658,0.1,0.13689320388349516
49,50,59.463802,0.02,0.02968699580509842
50,50,59.731178,0.0,0.0
47,50,59.986341,0.06,0.07609788803218237
46,50,60.240364,0.08,0.08228431071538225
49,50,60.497936,0.02,0.02168102168102168
44,50,60.755355,0.12,0.1492899203325251
42,50,61.010872,0.16,0.22164316370324955
48,50,61.275482,0.04,0.04838182412553122
48,50,61.527678,0.04,0.06344086021505377
47,50,61.787624,0.06,0.06095936042638241
46,50,62.054465,0.08,0.08684627575277337
44,50,62.294847,0.12,0.12962356792144025
47,50,62.556041,0.06,0.08148383005707038
45,50,62.80284,0.1,0.13821892393320964
48,50,63.057273,0.04,0.043308368609573426
46,50,63.312744,0.08,0.10932991343379288
49,50,63.561397,0.02,0.021269177126917713
48,50,63.819472,0.04,0.05821271239773442
46,50,64.087892,0.08,0.08620135091669347
48,50,64.338597,0.04,0.0486815415821501
45,50,64.586253,0.1,0.12523191094619665
41,50,64.835774,0.18,0.2127729980145599
43,50,65.072516,0.14,0.1722488038277512
43,50,65.328572,0.14,0.16971664698937428
48,50,65.579093,0.04,0.05528405620036653
49,50,65.836752,0.02,0.026564344746162927
48,50,66.09757,0.04,0.05103359173126615
49,50,66.347669,0.02,0.02158273381294964
46,50,66.610713,0.08,0.10982264665757162
47,50,66.858483,0.06,0.07956318252730109
48,50,67.115087,0.04,0.04569474665837737
47,50,67.361845,0.06,0.08671646638519
45,50,67.616986,0.1,0.1344316309719934
49,50,67.872396,0.02,0.027777777777777776
45,50,68.128401,0.1,0.12878565127903557
46,50,68.371863,0.08,0.10911555404947476
48,50,68.630593,0.04,0.04608294930875576
48,50,68.887352,0.04,0.04330963154492566
49,50,69.154081,0.02,0.009698996655518394
43,50,69.402062,0.14,0.19088591459528362
47,50,69.736677,0.06,0.07313915857605179
50,50,69.995241,0.0,0.0
49,50,70.232449,0.02,0.016408961817608078
47,50,70.500062,0.06,0.07822605481983369
49,50,70.75414,0.02,0.027347053848322526
44,50,71.014693,0.12,0.1653899721448468
45,50,71.266738,0.1,0.11534764498558155
50,50,71.530865,0.0,0.0
46,50,71.779648,0.08,0.11520428667113194
49,50,72.042138,0.02,0.031446540880503145
50,50,72.292707,0.0,0.0
50,50,72.544863,0.0,0.0
49,50,72.812465,0.02,0.031599736668861095
50,50,73.077389,0.0,0.0
50,50,73.33084,0.0,0.0
50,50,73.573414,0.0,0.0
48,50,73.836196,0.04,0.047139141742522754
45,50,74.087282,0.1,0.15334843092850212
48,50,74.344214,0.04,0.059568640876412185
45,50,74.592492,0.1,0.13516782582400969
45,50,74.83597,0.1,0.10851773264625644
45,50,75.088509,0.1,0.11164891900613101
44,50,75.328654,0.12,0.14664257753688648
47,50,75.578125,0.06,0.0778688524590164
50,50,75.843884,0.0,0.0
48,50,76.103967,0.04,0.03981572885817703
43,50,76.349028,0.14,0.19870483980913428
42,50,76.601379,0.16,0.2
43,50,76.845981,0.14,0.17621554660885724
44,50,77.114991,0.12,0.13631969062197874
45,50,77.354597,0.1,0.10955993930197269
50,50,77.617195,0.0,0.0
47,50,77.881088,0.06,0.07723963279518835
47,50,78.133132,0.06,0.08149350649350649
45,50,78.389054,0.1,0.12851146270584438
50,50,78.634664,0.0,0.0
46,50,78.903868,0.08,0.09101868595539482
47,50,79.156486,0.06,0.06499470151889791
46,50,79.423007,0.08,0.09965635738831616
48,50,79.666587,0.04,0.034106412005457026
48,50,79.931164,0.04,0.05272407732864675
46,50,80.191876,0.08,0.10528120713305898
43,50,80.434664,0.14,0.1727433628318584
50,50,80.688055,0.0,0.0
49,50,80.946563,0.02,0.024712254570074477
48,50,81.201913,0.04,0.05529374803644361
42,50,81.447142,0.16,0.18889597957881302
